customer_id,customer_name,email,registration_date,customer_type
1,Aryan Maharaj,udantdewan@example.net,2023-11-29,REGULAR
2,Pahal Balay,chandertejas@example.org,2025-02-12,REGULAR
3,Rushil Saini,saumyamall@example.org,2025-11-17,REGULAR
4,Pahal Oak,nachiket35@example.org,2023-11-18,REGULAR
5,Jagrati Padmanabhan,caleb78@example.org,2026-07-10,PREMIUM
6,Farhan Memon,rehaan10@example.net,2024-04-14,REGULAR
7,Fariq Kaul,raiarunima@example.com,2025-07-05,PREMIUM
8,Nicholas Prabhakar,shaurya41@example.net,2025-07-04,REGULAR
9,Nihal Shere,omadan@example.net,2025-04-10,REGULAR
10,Daksh Karnik,muttinandini@example.com,2023-10-20,REGULAR
11,Simon Tata,jshanker@example.com,2024-01-09,REGULAR
12,Priya Rastogi,theodore28@example.com,2023-11-16,REGULAR
13,Imaran Dua,pahalbhatt@example.com,2024-09-30,REGULAR
14,Zayan Apte,yadavamara@example.net,2024-08-15,REGULAR
15,Radhika Dugar,uaggarwal@example.net,2024-05-23,REGULAR
16,Yashica Cherian,yashica93@example.org,2024-09-21,REGULAR
17,Aadi Naik,hbahl@example.com,2026-03-29,REGULAR
18,Wriddhish Bhardwaj,farhanchada@example.net,2025-01-22,REGULAR
19,Jeremiah Dave,qgandhi@example.net,2026-03-22,PREMIUM
20,Siddharth Zacharia,devikarastogi@example.net,2025-07-21,REGULAR
21,Zansi Seth,kotaumang@example.org,2024-08-13,PREMIUM
22,Thomas Amble,bhargavaveer@example.org,2026-04-27,REGULAR
23,Ekavir Varkey,aryasunder@example.org,2025-03-22,REGULAR
24,Xavier Solanki,ggupta@example.org,2025-07-31,REGULAR
25,Pallavi Roy,rbhagat@example.net,2026-07-22,VIP
26,Darsh Rau,ikbal33@example.org,2025-03-18,REGULAR
27,Pahal Goswami,turvi31@example.com,2026-01-10,REGULAR
28,Chandresh Zachariah,chanderwarjas@example.org,2024-10-27,REGULAR
29,Tanay Rattan,galaladli@example.org,2026-07-23,PREMIUM
30,Suhani Mangal,jsur@example.org,2024-06-29,REGULAR
31,Darsh Murthy,bedivansha@example.net,2026-05-12,PREMIUM
32,Dakshesh Trivedi,grewalekapad@example.net,2023-10-22,PREMIUM
33,Netra Dar,balveerbumb@example.com,2025-07-29,REGULAR
34,Advika Jayaraman,william46@example.org,2025-08-14,VIP
35,Tanvi Mutti,andratara@example.net,2026-08-07,REGULAR
36,Ethan Yogi,yashawinilanka@example.org,2026-05-27,REGULAR
37,Yash Pingle,nakul78@example.net,2024-07-05,PREMIUM
38,Chandani Chawla,aishanidalia@example.org,2025-10-30,REGULAR
39,Anita Manda,hemaljani@example.net,2025-07-04,PREMIUM
40,Yashasvi Suresh,charan16@example.com,2023-09-26,REGULAR
41,Kalpit Lala,riyasane@example.net,2023-08-19,PREMIUM
42,Manthan Banik,manbir62@example.org,2024-07-11,REGULAR
43,Ishita Kade,harshilpandya@example.net,2026-04-04,REGULAR
44,Mohammed Khalsa,petersachar@example.org,2024-02-21,REGULAR
45,Nisha Kothari,nathaniel16@example.org,2026-03-07,REGULAR
46,Ryan Sharma,dalaja33@example.org,2025-08-01,REGULAR
47,Falguni Mallick,mallickindali@example.net,2025-02-17,REGULAR
48,Ayaan D’Alia,pranav94@example.org,2023-12-05,REGULAR
49,Hemani Murthy,hvaidya@example.com,2026-04-20,REGULAR
50,Aachal Basu,hagarwal@example.net,2025-08-30,REGULAR
51,Januja Sankar,narayanandipta@example.net,2026-02-23,REGULAR
52,Yashica More,znarain@example.net,2024-06-28,REGULAR
53,Rehaan Salvi,nghosh@example.net,2024-07-03,REGULAR
54,Daksha Mangat,qushinagy@example.com,2024-12-05,VIP
55,Yasti Solanki,fradomander@example.net,2025-08-05,REGULAR
56,Girik Keer,umang32@example.org,2023-09-28,REGULAR
57,Elijah Shah,thayer@example.net,2024-10-02,REGULAR
58,Yagnesh Divan,chhabrapavani@example.org,2024-02-17,PREMIUM
59,Chandresh Krish,shankiaan@example.com,2025-08-09,REGULAR
60,Saanvi Thaman,ksehgal@example.net,2026-03-10,REGULAR
61,Aashi Kota,vedhika34@example.com,2023-11-01,VIP
62,Wahab Magar,ekaja81@example.org,2024-01-21,REGULAR
